platform,price,price_display,airline,out_depart,out_arrive,ret_depart,ret_arrive,split,link
Kayak,1377,"$1,377",WB + DL,2026-11-25T14:45:00,N/A,2026-12-24T14:25:00,N/A,YES,https://www.kayak.com
Skyscanner,1576.96,"$1,577",Emirates,2026-11-25T17:55:00,2026-11-26T12:45:00,2026-12-24T15:35:00,2026-12-26T16:10:00,No,https://www.skyscanner.com/transport/flights/los/lax/261125/261224/?adults=1&cabinclass=economy
Kayak,1577,"$1,577",Unknown,N/A,N/A,N/A,N/A,No,https://www.kayak.com/book/flight?code=uGEiL9wB7n.ZpbE3-UY8hoNUvH8T-y68A.157696.8db164c14c2955db8e62e7df1944c4df&h=a07abf8595bf&sub=F-2589030808687323801E0d49c6c078d&viewId=95a192f3-4a76-4475-86a2-b641eb17bb07&viewRank=2
Expedia,1625.0,"US$1,625",Emirates,2026-11-25T17:55,2026-11-26T12:45,2026-12-24T15:35,2026-12-26T16:10,No,https://expedia.com/affiliate?siteid=1&landingPage=https%3A%2F%2Fwww.expedia.com%2FFlight-Information%3FjourneyContinuationId%3DAQrNAwqtA3Y1LXNvcy1mMTc1ZTk2MDU1OWU0NzJmOTRlZjk4YzJiMDYxMjRiMi0zMDktMX44LlMuMX5BUW9DQ0Q4U0J3aW9YQkFCR0E4b0FsZ0NjQUI2Q1c1a1kyUnBjbVZqZElnQmlNSDVaS29CQndvRFRFOVRFQUN5QVFjS0EweEJXQkFBfkFRcGdDaTRJeFpZQkVnTTNPRFFZeTVNQklPTU5LTmVPbmdNd2lwS2VBemhVUUFCWUFXb0NXVkJ5Q0ZSTVJVVlFUa2N4Q2k0SXhaWUJFZ015TVRVWTR3MGdpN2dCS0k2VW5nTXczWnVlQXpoVVFBQllBV29DV1ZCeUNGUk1SVVZRVGtjeENtQUtMZ2pGbGdFU0F6SXhOaGlMdUFFZzR3MG9oOWlnQXpEQzM2QURPRlJBQUZnQmFnSlpVSElJVkV4RlJWQk9SekVLTGdqRmxnRVNBemM0TXhqakRTRExrd0VveHVhZ0F6RE82cUFET0ZSQUFGZ0JhZ0paVUhJSVZFeEZSVkJPUnpFU0NnZ0JFQUVZQVNvQ1JVc1lBU0lFQ0FFUUFTZ0NLQU1vQkRBTBGamZmZmf-VQCIBASoFEgMKATF6BUNvYWNogAEAEj8KFgoKMjAyNi0xMS0yNRIDTE9TGgNMQVgKFgoKMjAyNi0xMi0yNBIDTEFYGgNMT1MSBxIFQ09BQ0gaAhABIAI%253D%26marketingChannel%3DDIRECT&camref=1011l5PtUP&creativeref=1100l68075&adref=PZOLM3k71u
Skyscanner,1665.38,"$1,666",EgyptAir,2026-11-25T15:00:00,2026-11-26T12:20:00,2026-12-24T16:25:00,2026-12-26T13:45:00,No,https://www.skyscanner.com/transport/flights/los/lax/261125/261224/?adults=1&cabinclass=economy
Expedia,1690.0,"US$1,690",EGYPTAIR,2026-11-25T15:00,2026-11-26T12:20,2026-12-24T16:25,2026-12-26T13:45,No,https://expedia.com/affiliate?siteid=1&landingPage=https%3A%2F%2Fwww.expedia.com%2FFlight-Information%3FjourneyContinuationId%3DAQq1AwqVA3Y1LXNvcy1mMTc1ZTk2MDU1OWU0NzJmOTRlZjk4YzJiMDYxMjRiMi00MjgtMn44LlMuMX5BUW9DQ0Q4U0J3aW9YQkFCR0E4b0FsZ0NjQUI2QTJKbWM0Z0JpTUg1WktvQkJ3b0RURTlURUFDeUFRY0tBMHhCV0JBQX5BUXBhQ2lzSXphWUJFZ000TnpZWXk1TUJJSUpBS0tpTm5nTXczby1lQXpoWFFBQllBV29DUWs5eUJWZE9TVTVIQ2lzSXphWUJFZ001T0RNWWdrQWdpN2dCS01xVW5nTXd4SnVlQXpoWFFBRllBV29DUWs5eUJWZE9TVTVIQ2xvS0t3ak5wZ0VTQXprNE5CaUx1QUVnZ2tBb3VkaWdBekR5M3FBRE9GRkFBRmdCYWdKSFJISUZVVkpGVGtjS0t3ak5wZ0VTQXpnM05SaUNRQ0RMa3dFbzBPYWdBekM5NmFBRE9GRkFBVmdCYWdKSFJISUZVVkpGVGtjU0NnZ0NFQUVZQWlvQ1RWTVlBU0lFQ0FFUUFTZ0NLQVFvQmpBQhGPwvUoXN-WQCIBASoFEgMKATF6BUNvYWNogAEAEj8KFgoKMjAyNi0xMS0yNRIDTE9TGgNMQVgKFgoKMjAyNi0xMi0yNBIDTEFYGgNMT1MSBxIFQ09BQ0gaAhABIAI%253D%26marketingChannel%3DDIRECT&camref=1011l5PtUP&creativeref=1100l68075&adref=PZOLM3k71u
Booking.com,1703,$1703,Egyptair,2026-11-25T15:00:00,2026-11-26T12:20:00,2026-12-24T16:25:00,2026-12-26T13:45:00,No,https://flights.booking.com/flights/LOS.AIRPORT-LAX.AIRPORT/?type=ROUNDTRIP&adults=1&cabinClass=ECONOMY&depart=2026-11-25&return=2026-12-24
Booking.com,1753,$1753,Emirates Airlines,2026-11-25T17:55:00,2026-11-26T12:45:00,2026-12-24T15:35:00,2026-12-26T16:10:00,No,https://flights.booking.com/flights/LOS.AIRPORT-LAX.AIRPORT/?type=ROUNDTRIP&adults=1&cabinClass=ECONOMY&depart=2026-11-25&return=2026-12-24
Skyscanner,1818.39,"$1,819",Qatar Airways,2026-11-25T15:30:00,2026-11-26T12:50:00,2026-12-24T15:10:00,2026-12-26T14:00:00,No,https://www.skyscanner.com/transport/flights/los/lax/261125/261224/?adults=1&cabinclass=economy
Booking.com,1936,$1936,Qatar Airways,2026-11-25T15:30:00,2026-11-26T12:50:00,2026-12-24T15:10:00,2026-12-26T14:00:00,No,https://flights.booking.com/flights/LOS.AIRPORT-LAX.AIRPORT/?type=ROUNDTRIP&adults=1&cabinClass=ECONOMY&depart=2026-11-25&return=2026-12-24
Kayak,1997,"$1,997",Unknown,N/A,N/A,N/A,N/A,No,https://www.kayak.com/book/flight?code=uGEiL9wB7n.-XszPgmuZf8QZ1CMNVeXdA.199695.7471bad1ff399e17cae854ca0baa6e0b&h=0934c55c43a6&sub=F6598774700285900687E034a5283f11&viewId=95a192f3-4a76-4475-86a2-b641eb17bb07&viewRank=3&adContentId=e8a0284a2fd3a593c0054b5c8c57bf46
Expedia,2069.0,"US$2,069",Air France,2026-11-25T23:55,2026-11-26T13:00,2026-12-24T21:05,2026-12-26T21:40,No,https://expedia.com/affiliate?siteid=1&landingPage=https%3A%2F%2Fwww.expedia.com%2FFlight-Information%3FjourneyContinuationId%3DAQrpAwrJA3Y1LXNvcy1mMTc1ZTk2MDU1OWU0NzJmOTRlZjk4YzJiMDYxMjRiMi02NDEtMX44LlMuMX5BUW9DQ0Q4U0J3aW9YQkFCR0E4b0FsZ0NjQUI2QTJKbWM0Z0JpTUg1WktJQkFVU3FBUWNLQTB4UFV4QUFzZ0VIQ2dOTVFWZ1FBQX5BUXByQ2pRSXdZd0JFZ014TkRrWXk1TUJJT0l3S0wtUm5nTXcxSlNlQXpoV1FBQllBV29JVEVsSFNGUkNRVWR5Q0ZaSFREaEtRbEpCQ2pNSXdZd0JFZ0l5TWhqaU1DQ0x1QUVvcHBhZUF6RHNtNTRET0ZaQUFWZ0JhZ2hNU1VkSVZFSkJSM0lJVmtkTU9FcENVa0VLYXdvekNNR01BUklDTVRrWWk3Z0JJT0l3S05IYW9BTXcxdC1nQXpoRlFBQllBV29JVEVsSFNGUkNRVWR5Q0VWSFVUWktRbEpCQ2pRSXdZd0JFZ014TkRnWTRqQWd5NU1CS0pMcW9BTXdtTzJnQXpoRlFBRllBV29JVEVsSFNGUkNRVWR5Q0VWSFVUWktRbEpCRWdvSUFSQUJHQUVxQWtGR0dBRWlCQWdCRUFFb0FpZ0RLQVF3RFERH4XrUbgAnEAiAQEqBRIDCgExegVDb2FjaIABABI_ChYKCjIwMjYtMTEtMjUSA0xPUxoDTEFYChYKCjIwMjYtMTItMjQSA0xBWBoDTE9TEgcSBUNPQUNIGgIQASAC%26marketingChannel%3DDIRECT&camref=1011l5PtUP&creativeref=1100l68075&adref=PZOLM3k71u
